"","term","estimate","std.error","robust.se","statistic","p.value"
"98","statquo:vulnrural",-0.534553978255519,0.314558359744644,0.264686307223326,-2.01957548867269,0.0434274397705044
"99","statquo:wrongexactnum",-0.122320107488377,0.173977337898066,0.159778943336095,-0.765558370423545,0.443939122669918
"100","statquo:wrongdaycare",0.269098809759176,0.253152666466147,0.214099237334257,1.25688822206803,0.208794113984797
"101","statquo:wronguneven",0.347447013260498,0.224368782572852,0.197364300980335,1.76043494965747,0.0783340878985083
"102","statquo:pziprasian",0.0959989868416923,0.676039322560911,0.555529882385674,0.172806161982562,0.862803793353734
"103","statquo:pzipitransp",0.471042815062756,2.39198286433853,2.10710016958374,0.223550271535411,0.823107261872596
"104","statquo:pzipifinan",3.36895214531849,4.30789382026976,3.807103067958,0.884912250911422,0.376203960041174
"105","statquo:y2020m10rcases",0.00321412386946912,0.00152581726609634,0.00130759734038296,2.45803793737283,0.0139698415864939
"106","statquo:genderMISSING",-17.540160694991,3813.67877835624,0.677581498601419,-25.8864221222026,9.47040719510117e-148
"107","statquo:agebin35to44",-0.438018894606075,0.221555469429196,0.198515631320814,-2.20647055192449,0.027351069910509
"108","statquo:agebin45to54",-0.179122932259505,0.225410353982329,0.197662499580113,-0.906205945184387,0.364826856854197
"109","statquo:agebin65to74",-0.252693165670507,0.269088241217342,0.234418646238488,-1.07795676549308,0.28105305080399
"110","statquo:income22.5",-0.42153239728969,0.381810138078639,0.278701348238139,-1.51248782955118,0.130409806439244
"111","statquo:income87.5",0.250340542465238,0.269566367680988,0.230718244405124,1.08504874900859,0.277900064742815
"112","statquo:countyfuture6to10",0.437749970269548,0.307067176752275,0.246289639572564,1.77737874410497,0.0755059456250032
"113","statquo:employmentfull",0.0601237378499353,0.19282579154591,0.17514094514938,0.343287732052918,0.73138200909696
"114","statquo:employmentMISSING",-1.27605665671385,0.849045984511938,0.751427288819536,-1.69817715659287,0.0894743306111965
"115","statquo:employmentnotlook",0.484541952264793,0.360814274268396,0.256625576000604,1.88812806508285,0.0590087599915473
"116","statquo:employmentretired",-0.13661390219035,0.246185587568684,0.209788333952004,-0.651198756464719,0.514918192986496
"117","statquo:rulesjudgmentgood",-0.111215716696926,0.289472892195671,0.23306432808076,-0.477188927249256,0.633227595152607
"118","statquo:rulesjudgmentinsuff",-0.318730577097456,0.403325584628839,0.356011420060665,-0.895281890235835,0.370636418619152
"119","statquo:prepjudgmentpoor",0.384387576511998,0.198258487177154,0.168758185541996,2.27774181902626,0.022741964575575
"120","statquo:ideologymliberal",0.206188931810984,0.365825888434715,0.33866501645232,0.608828552682864,0.542638085810041
"121","statquo:ideologymoderate",-0.215293978708447,0.16357121293976,0.14850583009192,-1.44973418602614,0.147132658691192
"122","statquo:ideologysconserv",-0.391764299436769,0.255557596436603,0.21086107629414,-1.85792611098256,0.0631795078443908
"123","statquo:ideologysliberal",-0.0542001733536196,0.390963510528943,0.378914266576509,-0.143040730145418,0.886258013914965
"124","statquo:educationdoctoral",-0.105703831274533,0.384879850008102,0.328074466155419,-0.322194630119302,0.747305252313952
"125","statquo:educationlthighsch",0.816777647380142,0.527388678387278,0.433369891822827,1.88471248878097,0.0594686653262835
"126","statquo:educationsomecoll",-0.181520157346428,0.187833637442763,0.15405892545761,-1.17825148271837,0.238696363675364
"127","statquo:educationtradetech",0.541022890593894,0.622896468178491,0.448759307377714,1.20559703542488,0.227972902837063
"128","statquo:tasknum4",0.195867087118141,0.260086251434105,0.214959100401108,0.911183042507427,0.362198937323567
"129","statquo:tasknumMISSING",0.502845402442723,1.33643744624843,0.941109423782885,0.534311302952939,0.593126173416028
"130","statquo:transityes",-0.0716370903914423,0.200270840927786,0.186377319793371,-0.384365922156534,0.700707254431121
"131","statquo:layofftemp",0.148480925809161,0.19577232118782,0.173340470803375,0.856585453593161,0.391674027718729
"132","mabscases:incloss",0.000480223981408262,0.000266047751023708,0.000239776110581585,2.00280161457062,0.0451985865076878
"133","mabscases:owncomcovid",0.00060194209168818,0.000615888728374516,0.000491408835781517,1.22493135625222,0.220601084924829
"134","mabscases:gendermale",-0.000382606579907857,0.000368198187089572,0.000322594072948718,-1.18603102781953,0.235610046454754
"135","mabscases:income15",-0.000584220845063682,0.000441676963412706,0.000390027768331703,-1.49789551539527,0.134160399034768
"136","mabscases:income40",0.000646852195436457,0.000556718971810892,0.000468066963262068,1.38196507381848,0.166982425355753
"137","mabscases:rulesjudgmentdnk",-0.000386474159508948,0.000450279542686279,0.000389046762297921,-0.993387420129709,0.320521189733344
"138","frule11:pziprural",-1.5028645273788,0.594648547126511,0.409224916184316,-3.67246584443531,0.000240221266332392
"139","frule12:pziprural",-0.74144769411784,0.518373489365268,0.385835235015617,-1.92166921740009,0.054647392948937
"140","frule12:y2020m4cases",0.00845149558068631,0.002757170241857,0.00223503917130121,3.78136351666981,0.000155971725324846
"141","frule12:demeanrp",0.0710609362597881,0.0960003704865606,0.0835322893240942,0.850700212274574,0.394935905246308
"142","frule11:ffcomcanc",-0.825855538572568,0.416559645513243,0.33685482480211,-2.45166605245369,0.014219656076475
"143","frule12:ffcomage",0.371001551710018,0.222367435307949,0.193118937572574,1.92110393922706,0.0547186050984548
"144","frule11:ffcompreg",1.80666898735348,0.686080519050127,0.536755361351223,3.36590766938105,0.000762922403582562
"145","frule11:larule6",-0.203275604867516,0.20424402872915,0.168922006982179,-1.20336958161384,0.22883333359368
"146","frule11:lirule3",-0.0367984624127269,0.289281552709194,0.23601000110176,-0.155919080720908,0.876096805009917
